Date,Day,Month,Year,Traffic,Count,Gross Sales,cloudcover,conditions,dew,feelslike,feelslikemax,feelslikemin,humidity,moonphase,precip,precipcover,precipprob,preciptype,sealevelpressure,severerisk,snow,snowdepth,solarenergy,solarradiation,sunrise,sunset,temp,tempmax,tempmin,uvindex,visibility,windgust,windspeed
2023-03-01,Wednesday,March,2023,13,0.0,0.0,30.5,Partially cloudy,39.8,52.2,74.7,35.7,63.2,0.31,0.0,0.0,0,none,1007.0,10,0.0,0.0,6.7,77.3,07:17:58,18:36:33,53.8,74.7,38.7,3,9.9,28.9,16.6
2023-03-02,Thursday,March,2023,14,1.0,0.01,44.0,Partially cloudy,33.3,40.1,51.5,27.0,66.3,0.34,0.0,0.0,0,none,1012.1,10,0.0,0.0,6.6,78.0,07:16:29,18:37:39,44.3,51.5,34.4,3,9.9,17.2,12.2
2023-03-03,Friday,March,2023,6,0.0,0.0,91.3,"Snow, Rain, Overcast",36.3,32.0,37.2,21.7,84.5,0.37,2.278,66.67,100,"rain,snow",997.0,10,0.0,0.0,0.8,8.8,07:14:59,18:38:44,40.7,43.1,35.0,0,6.4,43.6,30.1
2023-03-04,Saturday,March,2023,12,0.0,0.0,34.6,Partially cloudy,31.7,37.7,53.8,23.8,71.1,0.41,0.0,0.0,0,none,1014.3,10,0.0,0.0,7.9,88.5,07:13:28,18:39:49,41.4,53.8,29.9,4,8.7,34.2,18.1
2023-03-05,Sunday,March,2023,14,0.0,0.0,36.6,Partially cloudy,34.2,44.6,56.3,32.3,64.4,0.44,0.0,0.0,0,none,1022.3,10,0.0,0.0,6.8,80.7,07:11:57,18:40:53,46.6,56.3,35.8,3,9.3,19.5,13.3
2023-03-06,Monday,March,2023,0,0.0,0.0,60.3,Partially cloudy,39.6,54.0,72.4,38.7,55.9,0.47,0.0,0.0,0,none,1013.5,10,0.0,0.0,7.5,86.5,07:10:25,18:41:58,55.9,72.4,43.9,3,9.9,33.3,18.8
2023-03-07,Tuesday,March,2023,1,0.0,0.0,68.9,Partially cloudy,28.8,37.3,50.9,31.1,57.6,0.5,0.0,0.0,0,none,1025.1,10,0.0,0.0,6.3,74.2,07:08:52,18:43:02,43.9,50.9,39.3,3,9.8,32.1,21.4
2023-03-08,Wednesday,March,2023,8,1.0,30.0,58.7,Partially cloudy,17.4,33.9,44.9,25.7,38.8,0.54,0.0,0.0,0,none,1030.9,10,0.0,0.0,6.9,80.9,07:07:19,18:44:06,41.0,49.9,34.9,3,9.9,24.6,17.7
2023-03-09,Thursday,March,2023,14,0.0,0.0,79.8,"Rain, Partially cloudy",27.4,36.7,51.9,23.9,57.1,0.58,0.083,16.67,100,rain,1022.9,10,0.0,0.0,6.7,77.0,07:05:46,18:45:09,42.3,51.9,33.1,4,9.8,29.8,17.5
2023-03-10,Friday,March,2023,3,0.0,0.0,100.0,"Rain, Overcast",33.7,29.5,38.3,24.1,84.9,0.61,0.06,20.83,100,rain,1015.1,10,0.0,0.0,1.6,18.0,07:04:12,18:46:13,37.9,42.1,35.9,1,8.3,35.1,23.9
